week_day,k_calories,category,acebolado,ao,assado,barbecue,bife,cerveja,cigana,com,de,dobradinha,escuro,filezinho,frango,glÃºten,lactose,lombo,molho,na,picadinho,rosÃª,suÃ­no,tilÃ¡pia,tomate
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509638113406074,0.27413002464105646,0.0,0.0,0.0,0.3816539134896779,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509638113406074,0.27413002464105646,0.0,0.0,0.0,0.3816539134896779,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509638113406074,0.27413002464105646,0.0,0.0,0.0,0.3816539134896779,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.5298756669726569,0.0,0.8480753371902062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.2837191133537223,0.0,0.0,0.0,0.0,0.0,0.0,0.2966262104934812,0.0,0.0,0.44079750122431677,0.2511410168401107,0.3451315787895139,0.44079750122431677,0.0,0.2577235489667617,0.0,0.0,0.44079750122431677,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619692394906898,0.0,0.6476132164108296,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509638113406074,0.27413002464105646,0.0,0.0,0.0,0.3816539134896779,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.4590946354936505,0.0,0.0,0.4525593787365746,0.0,0.0,0.0,0.0,0.0,0.6407087948025255,0.0,0.0,0.0,0.0,0.0,0.4170304121298747,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.6665068917628681,0.0,0.0,0.0,0.435437506511541,0.0,0.0,0.0,0.461820718337901,0.0,0.0,0.0,0.39100430338997205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.509638113406074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509638113406074,0.27413002464105646,0.0,0.0,0.0,0.3816539134896779,0.0,0.0
,,,0.0,0.0,0.8625322895499038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5060020251775686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,0.0,0.35585857494087286,0.0,0.0,0.0,0.0,0.0,0.0,0.37204747790368325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32325328307957235,0.0,0.0,0.0,0.0,0.5614502042945738,0.5614502042945738
,,,0.0,0.0,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0,0.0,0.3390334392003042,0.4659181029283439,0.0,0.0,0.0,0.5779172295699736,0.0,0.0,0.0,0.0,0.0
